Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.503727480443509e-6,1.5035857131272055e-6,1.5040541741786324e-6,6.839817813460711e-10,1.178548524050064e-10,1.2905296516950897e-9
string/1000,2.9929051162161574e-6,2.9922823000005424e-6,2.9953748285221686e-6,3.65737425705439e-9,9.691602598922257e-10,7.52785498244615e-9
string/2000,5.617906603651034e-6,5.617289966320961e-6,5.620445223778144e-6,3.3401279651242604e-9,3.781697838301258e-10,7.296453398982669e-9
string/4000,1.108806847292852e-5,1.1087271533477734e-5,1.1090168847327373e-5,3.966997563676706e-9,5.272227003881576e-10,7.260121802875164e-9
string'/500,5.8900480034525065e-5,5.887792554966153e-5,5.8925872308435014e-5,7.932475408565947e-8,4.6417581374882516e-8,1.2438752584547032e-7
string'/1000,1.1932438600258702e-4,1.1926130151944232e-4,1.1943621656299814e-4,2.785666465440171e-7,1.889027100532741e-7,4.610612103928771e-7
string'/2000,2.3239111585296468e-4,2.3231154754208724e-4,2.3256308126364341e-4,3.5469777115055797e-7,2.144763521917474e-7,5.789995620375632e-7
string'/4000,4.5324304490238415e-4,4.531369541892527e-4,4.5350151597881234e-4,5.222510528541576e-7,2.723872142875204e-7,1.0189064079013461e-6
many/500,1.2947078633260646e-5,1.2943024640347117e-5,1.2951917938375988e-5,1.527099536330437e-8,1.2780267943244387e-8,1.800625847179561e-8
many/1000,2.6826707587244037e-5,2.6822649136648634e-5,2.6836075689056932e-5,2.0863443095010397e-8,9.917018203290215e-9,3.969225504163252e-8
many/2000,5.6918448491392414e-5,5.690827471994457e-5,5.693212782155884e-5,3.8219413862811896e-8,2.7993153070666427e-8,5.989334285292598e-8
many/4000,1.2395953617772796e-4,1.239377968214353e-4,1.24009133858423e-4,1.0622319658183312e-7,5.158965796284552e-8,1.9807709412612514e-7
some/500,2.2239747991392015e-5,2.2237777300316866e-5,2.2244923240980972e-5,1.0492978470133039e-8,4.338802659726837e-9,1.8761238244035325e-8
some/1000,4.626925850185485e-5,4.626573084728013e-5,4.627745359644378e-5,1.750798025678784e-8,9.251044829789496e-9,3.040153864080619e-8
some/2000,9.984420963718069e-5,9.98298736426475e-5,9.988108674334493e-5,6.708998128749586e-8,3.288145681524719e-8,1.3177240036211738e-7
